0.362126	0.376825	0.180308	0.059197	0.017316	0.003322	0.000604	0.000302	
0.126032	0.277230	0.280451	0.171935	0.087779	0.038051	0.013288	0.005235	
0.045304	0.154032	0.217155	0.230746	0.162791	0.102990	0.053156	0.033827	
0.015700	0.070048	0.161031	0.188406	0.185185	0.158615	0.103462	0.117552	
0.006039	0.024660	0.100654	0.136387	0.162053	0.173125	0.155511	0.241570	
0.002415	0.010266	0.039855	0.089976	0.135870	0.167874	0.155797	0.397947	
0.001409	0.005638	0.020437	0.042283	0.086681	0.139535	0.148696	0.555321	
0.000000	0.003221	0.007246	0.022544	0.052335	0.105475	0.120773	0.688406	
0.000000	0.000000	0.004529	0.017210	0.018116	0.062500	0.097826	0.799819	
0.000000	0.000000	0.002012	0.010060	0.011066	0.032193	0.058350	0.886318	
0.000000	0.000000	0.001107	0.003322	0.005537	0.014396	0.050941	0.924695	
